Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Пʼятаченко Стефан;Дмитрович;чоловік;04-12-1994;Провізор;місто Рава-Руська;парк Ювілейний 1-й, буд. 03, Виноградів, 33171;082 139 53 29;bairakvladyslav@example.com
Ґереґа Альбіна;Григорівна;жінка;09-11-1982;Ботанік;місто Заліщики;сквер Тупиковий 2-й, буд. 1 кв. 8, Сокиряни, 71265;702 93 88;priska95@example.com
Іванченко Данна;Андріївна;жінка;22-07-1947;Астроном;селище Армянськ;парк Писарева, буд. 79 кв. 187, Покров, 67705;007 640-63-46;heorhiiriaboshapka@example.org
Яремчук Дан;Миколайович;чоловік;27-10-1960;Геолог;селище Шумськ;провулок Докова, буд. 953 кв. 52, Новодністровськ, 04752;073 614-24-61;nadiia06@example.com
Заїка Дмитро;Андрійович;чоловік;14-09-1982;Клавішник;хутір Ірпінь;набережна Київське, буд. 98, Рені, 05677;+380 (19) 694-72-82;leonhohol-ianovskyi@example.net
Хоменко Іван;Михайлович;чоловік;22-06-1947;Пілот;село Бровари;провулок Кибальчича, буд. 27 кв. 10, Олешки, 14010;+380 07 670-07-95;spassaienko@example.net
Ісаєнко Ірена;Тимофіївна;жінка;27-09-1991;Вчитель;селище Скалат;площа Перемоги, буд. 0 кв. 616, Тернівка , 09050;475 74 77;vlasiukkhoma@example.net
Забіла Ярослава;Дмитрівна;жінка;09-03-1970;Няня;село Решетилівка;вулиця Тепличний 2-й, буд. 76, Тальне, 35465;009 708 92 92;csavenko@example.net
Ковпак Альбіна;Анатоліївна;жінка;02-12-1957;Єгер;село Інкерман;набережна Абрикосовий, буд. 97 кв. 139, Миколаїв, 20803;+380 (54) 689-64-48;kostiantyntsisyk@example.com
Гаврилець Вікторія;Віталівна;жінка;22-11-1998;Кухар;селище Новодружеськ;провулок Данькевича, буд. 5 кв. 6, Южноукраїнськ, 66678;+380 (80) 258-86-86;kolesnychenkoiaryna@example.net
Яремків Олекса;Миколайович;чоловік;06-06-1940;Модельєр;селище Благовіщенське;парк Вапняна, буд. 8, Красноград, 41180;488-02-76;ahaidenko@example.net
Валенко Стефан;Дмитрович;чоловік;22-02-1942;Модель;село Білопілля;узвіз Агрономічна, буд. 9 кв. 62, Глухів, 97403;+380 03 342-41-59;artymparmen@example.net
Яценюк Оксана;Володимирівна;жінка;27-11-1970;Кінокритик;місто Світлодарськ;узвіз Івасюка Володимира, буд. 7 кв. 5, Приморськ (Україна), 30261;+380 (47) 740-70-42;markolesyk@example.org
Хорішко Мирослав;Юрійович;чоловік;18-04-1963;Зоолог;селище Семенівка;площа Палубна, буд. 949 кв. 477, Покров, 98089;022 443-82-92;orkhypdrobakha@example.org
Гаврилишин Опанас;Григорович;чоловік;16-03-1940;Редактор;хутір Деражня;шосе Декабристів, буд. 40 кв. 124, Звенигородка, 33686;010 853 76 91;volodymyra52@example.net
Гайденко Віра;Сергіївна;жінка;09-04-1961;Композитор;селище Очаків;узвіз Абрикосова, буд. 09, Середина-Буда, 44328;+380 (34) 770-85-32;kamilla31@example.org
Червоненко Мілена;Дмитрівна;жінка;07-10-2008;Складальник;хутір Червоносів;набережна Ризька, буд. 889 кв. 1, Чигирин, 62676;022 868 63 08;xtereshchuk@example.net
Тесленко Георгій;Миколайович;чоловік;13-05-1985;Художник;місто Куп'янськ;шосе Сирітський 2-й, буд. 8, Харцизьк, 63646;093 431-93-92;vlokhhlib@example.com
Бандура Болеслав;Олегович;чоловік;29-06-1984;Бізнесмен;село Здолбунів;парк Бібліотечна, буд. 71 кв. 2, Дрогобич, 61395;+380 22 667-32-26;tsymbaliukieva@example.net
Вертипорох Віра;Сергіївна;жінка;11-06-1946;Візажист;село Миргород;вулиця Безіменний, буд. 187 кв. 558, Городня, 11734;+380 45 239 55 86;leopold01@example.org
Комар Віра;Володимирівна;жінка;17-07-1980;Педагог;село Миронівка;вулиця Чорноморський 1-й, буд. 33, Буськ, 95514;+380 72 395-67-85;kalenychenkohanna@example.org
Гупало Арсен;Махайлович;чоловік;12-07-1956;Співак;село Овруч;площа Лузанівський 1-й, буд. 93, Острог, 70785;+380 73 955-28-64;antonprokopovych@example.com
Єсипенко Анастасія;Василівна;жінка;07-10-2007;Дизайнер;село Дебальцеве;площа Суднобудівний, буд. 7 кв. 0, Перевальськ, 33476;877 51 65;andriishyniaryna@example.com
Ільченко Трохим;Михайлович;чоловік;07-01-1974;Будник;село Ходорів;шосе Паустовського, буд. 0 кв. 417, Новий Калинів, 25516;+380 20 602-91-99;klymentzasenko@example.com
Дуплій Семен;Вітальович;чоловік;23-06-1984;Епідеміолог;хутір Борщів;набережна Академіка Вавилова, буд. 81 кв. 5, Новий Буг, 90025;582 20 42;iakiv30@example.net
Орлик Віра;Іванівна;жінка;29-07-1999;Гірничий інженер;хутір Довжанськ;парк Князівський, буд. 313, Новодністровськ, 27114;+380 01 646 12 23;gtychyna@example.org
Удовиченко Володимира;Михайлівна;жінка;06-06-1971;Реставратор;село Олешки;вулиця Сергія Уточкіна, буд. 2 кв. 03, Мелітополь, 91230;+380 91 779-47-94;povsiienko@example.org
Ляшко Едуард;Юрійович;чоловік;13-12-1949;Мінералог;селище Берегове;площа Горбиста, буд. 4 кв. 3, Ічня, 99393;+380 67 104-94-53;korolenkolarysa@example.org
Колісниченко Єфрем;Вікторович;чоловік;25-09-2006;Медик;хутір Ясинувата;набережна Житомирський 4-й, буд. 7 кв. 07, Вільногірськ, 43754;072 948-96-67;ievhenhunko@example.org
Ткаченко Ольга;Олександрівна;жінка;13-08-1952;Музичний редактор;селище Святогірськ;вулиця Юрія Олеші, буд. 57 кв. 514, Костопіль, 85035;025 209 34 30;mchumak@example.org
Гайдабура Соломія;Василівна;жінка;28-06-1949;Математик;хутір Енергодар;сквер Навігаційний, буд. 5, Сторожинець, 15074;+380 (64) 699-31-82;ihnat29@example.net
Коваленко Лесь;Олегович;чоловік;25-04-1984;Мовознавець;селище Сулимівка (Слов'янськ);сквер Леонтовича, буд. 6, Решетилівка, 15546;018 46 25;arsenychsnizhana@example.net
Даценко Альберт;Анатолійович;чоловік;13-11-1992;Агроном;хутір Сновськ;провулок Танкерна, буд. 4 кв. 6, Зборів, 79749;008 397 85 88;derhachsolomiia@example.net
Бандура Охрім;Махайлович;чоловік;10-05-1963;Мінералог;місто Євпаторія;площа Міхновського Миколи, буд. 0, Гнівань, 59926;027 320-56-28;romanetsroksolana@example.com
Данькевич Петро;Олегович;чоловік;02-01-1988;Кіноактор;селище Харків;набережна Садовського, буд. 7 кв. 995, Южне, 33849;008 887-25-73;qvenhrynovych@example.com
Твердохліб Августин;Володимирович;чоловік;22-12-1939;Скульптор;селище Севастополь;шосе Молодогвардійська, буд. 12, Іллінці, 75670;150-68-12;parmen07@example.com
Юрченко Олесь;Олегович;чоловік;14-06-1955;Кушнір;селище Тернопіль;проспект Бібліотечна, буд. 27 кв. 005, Часів Яр, 88044;033 455-30-21;iryna00@example.net
Колісниченко Ігор;Іванович;чоловік;26-03-1955;Журналіст;хутір Монастирище;вулиця Іподромний, буд. 83, Слов'янськ, 08453;+380 90 658-22-55;vvashchuk@example.net
Шаповал Станіслав;Андрійович;чоловік;27-08-2005;Дерун;хутір Олевськ;узвіз Ракетна, буд. 6 кв. 996, Корюківка, 83711;+380 76 802-07-66;viktor65@example.org
Дергач Оксенія;Андріївна;жінка;12-08-1949;Менеджер;селище Сніжне;проспект Волзький, буд. 927 кв. 2, Курахове, 73683;+380 93 166 07 00;ievdokymenkomakar@example.net
Чекалюк Марко;Вітальович;чоловік;27-10-1956;Краєзнавець;село Буринь;проспект Косий, буд. 4, Нововолинськ, 30614;+380 81 890-71-88;illiasirchenko@example.org
Франко Геннадій;Махайлович;чоловік;23-11-1991;Публіцист;селище Охтирка;сквер Лядова, буд. 4 кв. 913, Дубно, 91180;438 70 67;nustenko@example.org
Лагода Мирон;Анатолійович;чоловік;30-11-1945;Кушнір;місто Ірпінь;шосе Суднобудівна, буд. 4, Вашківці, 99360;016 633-12-22;ieva06@example.net
Ємельяненко Миколай;Дмитрович;чоловік;23-02-1955;Соціолог;селище Кременець;площа Висоцького, буд. 6, Львів, 94743;+380 36 946 51 92;rostyslav38@example.com
Бевз Тарас;Махайлович;чоловік;14-11-1945;Паблік рилейшнз;хутір Дубно;шосе Керченська, буд. 9 кв. 0, Нова Одеса, 11668;023 571-89-08;zsahal@example.com
Дубенко Віталій;Валерійович;чоловік;28-09-2005;Фармацевт;місто Новомиргород;провулок Дунаєвського 1-й, буд. 76, Устилуг, 57921;286-92-87;leontii75@example.net
Ярош Марина;Олександрівна;жінка;30-08-1986;Археолог;село Гнівань;площа Михайла Жванецького, буд. 8 кв. 9, Миргород, 33009;005 644-43-28;neporozhniifedir@example.org
Забара Василь;Володимирович;чоловік;23-02-1949;Нотаріус;хутір Курахове;узвіз Полуничний, буд. 34 кв. 861, Ямпіль, 12848;+380 (42) 945-73-52;omeliannestaiko@example.net
Рудик Андрій;Михайлович;чоловік;03-06-1982;Петрограф;місто Гребінка;провулок Академіка Вавилова, буд. 84 кв. 0, Болехів, 28501;+380 58 698-05-12;tetianaieremenko@example.com
Дзиндра Василь;Олександрович;чоловік;16-03-1962;Секретар;село Ясинувата;сквер Магнітогорський 2-й, буд. 657 кв. 8, Севастополь, 73573;069 922-22-71;lavrenkoiaryna@example.org
Онищенко Валентина;Тимофіївна;жінка;29-02-1984;Паблік рилейшнз;хутір Ніжин;провулок Квітковий, буд. 026 кв. 69, Брянка, 85124;+380 27 934-16-94;avhustynpustovit@example.com
Копитко Орест;Сергійович;чоловік;30-06-1959;Агроном;хутір Роздільна;проспект Чубаївська, буд. 3 кв. 4, Чернівці, 69496;563-57-05;hresvolodymyra@example.net
Петренко Алла;Сергіївна;жінка;29-01-1976;Музичний редактор;хутір Червоноград;узвіз Чорноморський 6-й, буд. 800 кв. 77, Збараж, 11806;057 302-87-28;babiukprokhir@example.org
Алексюк Тимофій;Олегович;чоловік;08-01-1967;Випробувач;місто Заставна;шосе Болградська, буд. 75, Керч, 04950;094 755-56-44;marynafurs@example.com
Парасюк Володимир;Анатолійович;чоловік;03-09-2001;Прокурор;село Богодухів;провулок Пржевальського, буд. 256, Шахтарськ, 16127;+380 72 311 87 25;liliiazhuchenko@example.com
Франко Макар;Анатолійович;чоловік;15-09-1957;Антрополог;місто Суходільськ;провулок Соляний 7-й, буд. 561, Кременчук, 37166;+380 30 267-77-10;vadym72@example.net
Кибкало Веніямин;Анатолійович;чоловік;12-01-1989;Льотчик;село Верхівцеве;сквер Дальня, буд. 01 кв. 632, Виноградів, 05289;041 278 30 77;danylchukiaroslav@example.org
Христич Орися;Володимирівна;жінка;29-10-1971;Художник;село Буськ;провулок Новоселів, буд. 54, Кобеляки, 64866;+380 (30) 128-70-54;ssamoilenko@example.org
Мазур Сніжана;Махайлівна;жінка;10-12-1993;Правник;село Зміїв;шосе Тіниста, буд. 35, Мирноград, 22767;010 869-84-24;vashchuknestor@example.com
Ващенко Тимофій;Валерійович;чоловік;14-03-1991;Економіст;хутір Жовква;проспект Овідіопольська дорога, буд. 5 кв. 90, Кремінна, 31799;128 87 77;zorian48@example.com
Затула Климент;Михайлович;чоловік;22-11-2004;Живописець;село Моршин;проспект Макова, буд. 017, Запоріжжя, 15329;339-86-86;havrylo01@example.com
Макаренко Ігор;Юрійович;чоловік;31-01-1990;Фармацевт;село Здолбунів;шосе Амурський 3-й, буд. 3, Христинівка, 34880;+380 47 944 01 99;sofiia59@example.com
Бебешко Ада;Андріївна;жінка;15-10-1992;Дантист;хутір Ананьїв;узвіз Приморський, буд. 37 кв. 5, Чорноморськ, 33029;005 862 21 04;nalyvaikohlib@example.net
Карпенко Веніямин;Тимофійович;чоловік;20-09-1976;Співак;село Кипуче;шосе Олександра Тимошенка, буд. 687 кв. 803, Енергодар, 28375;080 612-02-91;arkhypenkomyroslav@example.org
Лукаш Антон;Григорович;чоловік;08-05-1984;Секретар;село Верхньодніпровськ;сквер Прохоровський, буд. 7, Алупка, 27084;+380 88 311 02 89;boryshrechanyk@example.net
Зінчук Феофан;Вікторович;чоловік;07-06-1967;Кінорежисер;хутір Тисмениця;узвіз Заводська 1-ша, буд. 1, Зоринськ, 92690;+380 14 432-39-06;violettashamrai@example.com
Бакуменко Аарон;Васильович;чоловік;03-11-1955;Мінералог;селище Перевальськ;набережна Буніна, буд. 8 кв. 8, Любомль, 16017;+380 72 058 76 72;iarema32@example.com
Рак Василина;Махайлівна;жінка;22-11-1944;Мінералог;селище Ізюм;набережна Зарічна, буд. 8, Люботин, 39035;+380 00 990-31-23;erikatsiutsiura@example.net
Артим Ярема;Вікторович;чоловік;12-08-1993;Електромонтажник;місто Березне;площа Ольгіївський узвіз, буд. 225, Костянтинівка, 80200;994 46 93;adamvdovenko@example.com
Даньків Ярослава;Віталівна;жінка;01-08-1970;Фрілансер;селище Дружківка;вулиця Морська, буд. 6, Богодухів, 75497;012 895 81 81;oiatseniuk@example.com
Литвиненко Ярема;Тимофійович;чоловік;01-01-1980;Фізик;місто Володимир-Волинський;вулиця Василя Кандинського 4-й, буд. 4 кв. 923, Новояворівськ, 27813;+380 25 847-58-92;orkhyp05@example.net
Бебешко Прохір;Тимофійович;чоловік;12-09-1996;Паблік рилейшнз;селище Кролевець;провулок Юхима Фесенка, буд. 937 кв. 006, Залізне, 68616;+380 66 689-31-64;kostiantynartymovych@example.net
Вівчаренко Ярема;Іванович;чоловік;23-03-2005;Хімік;село Хорол ;парк Наявний 4-й, буд. 807 кв. 8, Новоазовськ, 53309;302 27 28;varfolomiihaidamaka@example.org
Сомко Ярина;Михайлівна;жінка;03-11-2004;Намотувальник;село Шпола;парк Лазурний 2-й, буд. 278 кв. 294, Сквира, 84539;+380 08 810-30-98;qnosachenko@example.com
Таран Руслан;Григорович;чоловік;17-09-1967;Соціолог;селище Бахчисарай;набережна Композитора Глинки, буд. 535, Червоноград, 32969;071 232 23 03;mykhailyna09@example.net
Дергач Йосип;Іванович;чоловік;05-07-1987;Ювелір;хутір Тернівка ;вулиця Першотравневий 2-й, буд. 8 кв. 26, Карлівка, 76434;+380 86 467-34-62;halyna13@example.net
Бандера Дмитро;Михайлович;чоловік;01-11-1973;Художник;село Новоазовськ;набережна Данила Крижанівського, буд. 8, Українка , 75388;091 141 13 30;snizhanaaverchenko@example.com
Заїка Арсен;Вітальович;чоловік;28-01-1990;Піаніст;село Мена ;сквер Велика Садова, буд. 64, Горлівка, 64203;056 960 86 02;iesypenkooleh@example.org
Іващенко Ігор;Анатолійович;чоловік;29-08-1955;Кінолог;хутір Ямпіль;площа 5-та Суворовська, буд. 53 кв. 977, Заставна, 76428;+380 16 630-10-24;iukhym12@example.org
Якимчук Марія;Андріївна;жінка;18-05-1939;Кур'єр;селище Решетилівка;шосе Квіткова, буд. 85, Джанкой, 55289;032 271 32 59;ada23@example.com
Тарасенко Тереза;Василівна;жінка;02-07-1971;Круп'є;хутір Сколе;узвіз Лінія 31-ша, буд. 187 кв. 9, Бердичів, 14034;088 124-89-79;wveres@example.net
Жаліло Георгій;Володимирович;чоловік;20-05-1978;Конструктор;місто Алмазна;узвіз Український 2-й, буд. 164 кв. 551, Фастів, 17183;+380 65 586-10-04;borysholyk@example.com
Андрієнко Богданна;Григорівна;жінка;09-01-1993;Електрик;хутір Сніжне;шосе Романтичний, буд. 4, Чернівці, 28082;035 044-92-24;zhukarkadii@example.org
Карпенко Марта;Володимирівна;жінка;10-08-1994;Детектив;селище Українськ;шосе 1-ша Суворовська, буд. 562 кв. 382, Долинська, 86585;+380 (69) 168-85-58;demian21@example.com
Шеремета Борис;Олександрович;чоловік;03-12-1967;Електрик;місто Сквира;проспект Лінія 53-тя, буд. 8, Помічна, 52472;144 86 90;ustus@example.org
Бевз Марина;Валеріївна;жінка;15-11-1965;Гірничий інженер;хутір Первомайськ;шосе Товарний, буд. 34, Устилуг, 09135;046 407-39-54;zhuravelbohuslava@example.org
Петренко Еріка;Віталівна;жінка;23-08-1978;Актор;хутір Бучач;сквер Жоліо-Кюрі, буд. 72 кв. 833, Шумськ, 46268;019 519 51 14;svoblyi@example.org
Забара Юстим;Сергійович;чоловік;18-06-1941;Мірошник;місто Умань;шосе Маршрутна, буд. 7, Сторожинець, 18146;+380 66 917 67 83;zlatoslavahavrylets@example.org
Проценко Захар;Махайлович;чоловік;30-01-1972;Фармацевт;хутір Гадяч;вулиця Пересипська 10-та, буд. 77 кв. 8, Українка , 68549;+380 49 555-88-47;ivanenkoviacheslav@example.org
Запорожець Климент;Михайлович;чоловік;03-09-1942;Кінорежисер;місто Вилкове;сквер Магнітогорський 3-й, буд. 18, Красноперекопськ, 18091;659-79-45;viktoroliinyk@example.org
Ісаєнко Розалія;Михайлівна;жінка;08-01-1951;Фізик;село Марганець ;парк Скляна, буд. 057 кв. 500, Дубровиця, 96934;059 207-93-47;viacheslavhavrysh@example.com
Балабан Василина;Володимирівна;жінка;28-06-1954;Каскадер;місто Гайворон;шосе Ботанічний, буд. 66 кв. 24, Татарбунари, 53686;032 44 26;psemenchenko@example.org
Фурс Михайлина;Іванівна;жінка;03-06-2000;Фрілансер;хутір Саки ;шосе Далекосхідна, буд. 1, Чорноморськ, 31991;+380 (21) 785-36-08;frantsdakhno@example.org
Вакарчук Святослав;Тимофійович;чоловік;13-01-1958;Музикант;хутір Ладижин;вулиця Мічманський 1-й, буд. 910, Павлоград, 54586;+380 (43) 028-84-58;pryimakpriska@example.org
Зубко Ада;Василівна;жінка;31-01-1939;Піаніст;хутір Калуш;набережна Ползунова 2-й, буд. 982, Бердянськ, 95303;389-36-61;avhustynakymenko@example.net
Ґерета Святослав;Михайлович;чоловік;14-06-1965;Електрик;хутір Полтава;узвіз Воронезька, буд. 73, Карлівка, 14229;+380 39 508-50-79;viktor59@example.net
Вакарчук Альбіна;Сергіївна;жінка;06-12-1957;Єгер;місто Сторожинець;площа Лазурний 3-й, буд. 9 кв. 2, Енергодар, 02797;+380 (62) 701-79-65;fareniukstepan@example.org
Чекалюк Анастасія;Валеріївна;жінка;29-07-1959;Електротехнік;селище Новоукраїнка;шосе Амурська, буд. 97, Міусинськ, 60784;+380 (73) 332-81-19;dannagzhytskyi@example.com
Чаленко Мирослав;Валерійович;чоловік;28-11-1988;Маркетолог;хутір Яготин;парк Старицького, буд. 6, Селидове, 94438;+380 66 671 32 65;halynaivanchenko@example.net
Терещенко Ростислав;Махайлович;чоловік;02-04-1990;Дантист;хутір Борщів;шосе Шилова, буд. 49, Шахтарськ, 37159;643 15 60;demianromanets@example.org
Носенко Віолетта;Андріївна;жінка;28-08-1999;Пекар;село Новомиргород;вулиця Ракетна, буд. 1 кв. 65, Золотоноша, 40042;047 885-86-66;wbaida@example.org
Черінько Варвара;Анатоліївна;жінка;26-07-1940;Інженер;хутір Чоп;провулок Магнітогорський, буд. 4 кв. 61, Алмазна, 44712;+380 (19) 025-33-32;albinadanchenko@example.org
Щириця Франц;Дмитрович;чоловік;03-11-1993;Гицель;село Кодима;сквер 1-ша Лінія Марії Демченко, буд. 630, Святогірськ, 60050;909-33-11;alevtyniesypenko@example.org
Воблий Оксана;Анатоліївна;жінка;19-01-1989;Гірничий інженер;селище Баштанка;парк Черепанових 2-й, буд. 6, Камінь-Каширський, 77546;+380 (29) 688-28-08;opanas52@example.com
Ніколюк Антон;Сергійович;чоловік;09-02-1945;Ветеринар;селище Покровськ;узвіз Літературна, буд. 1 кв. 764, Снігурівка, 81581;069 661-52-47;vovkalina@example.net
Гаврюшенко Макар;Григорович;чоловік;21-02-1960;Епідеміолог;хутір Кремінна;площа Гладкова, буд. 325 кв. 93, Соснівка , 11779;+380 (36) 653-22-66;halyna19@example.net
Ткач Едуард;Махайлович;чоловік;12-01-1983;Композитор;село Ізяслав;набережна Удільний, буд. 8, Золоте, 36509;036 12 15;vadym32@example.org
Деревʼянко Оксенія;Сергіївна;жінка;14-05-2002;Стиліст;селище Нове Давидково;проспект Нафтовиків, буд. 4, Добромиль, 25024;026 978-97-85;zinchenkoanton@example.com
Гриценко Михайлина;Віталівна;жінка;31-08-1997;Гірничий інженер;селище Ужгород;узвіз Соляний 5-й, буд. 3 кв. 908, Олешки, 93703;+380 (58) 992-85-67;anastasiia75@example.net
Макогон Богодар;Миколайович;чоловік;08-09-1983;Агроном;село Волочиськ;парк Аеропортівський 3-й, буд. 779 кв. 62, Іллінці, 78771;064 022 32 96;orkhyptymchuk@example.com
Чекалюк Семен;Вітальович;чоловік;30-11-1996;Публіцист;селище Заставна;проспект Молодогвардійська, буд. 7, Корець, 57410;035 709 74 64;briabchenko@example.net
Штепа Євген;Махайлович;чоловік;27-11-1981;Мовознавець;село Косів;вулиця Комітетська, буд. 00 кв. 249, Калуш, 09149;059 313-74-94;orest28@example.com
Вдовиченко Богданна;Віталівна;жінка;26-03-1952;Астронавт;місто Охтирка;провулок Гаршина, буд. 00 кв. 6, Федорівка, 32020;054 050-02-12;udovychenkofrants@example.net
Жаліло Василина;Григорівна;жінка;09-08-1941;Палеонтолог;хутір Сорокине;вулиця Радісний, буд. 581, Іловайськ, 43470;+380 84 576-40-96;randroshchuk@example.org
Баранець Єфрем;Миколайович;чоловік;24-08-1987;Провізор;місто Родинське;вулиця Першотравневий 2-й, буд. 93, Борзна, 57068;891-40-42;albertpavlychenko@example.org
Рева Роман;Анатолійович;чоловік;15-06-1974;Епідеміолог;село Малин;провулок 14-та ст. Великого Фонтану пляж, буд. 576, Гадяч, 91991;+380 88 752 63 80;shvachkosolomon@example.com
Франко Тетяна;Віталівна;жінка;12-12-1994;Кур'єр;селище Ясинувата;площа Вершинна, буд. 0 кв. 8, Ніжин, 81277;061 595-81-50;ihnat03@example.org
Токар Клавдія;Анатоліївна;жінка;31-10-1991;Ріелтор;селище Бібрка;парк Леонтовича, буд. 82 кв. 493, Голубівка, 94797;092 494-09-20;kyrylosaienko@example.com
Єсипенко Одарка;Юріївна;жінка;16-11-1984;Ґрунтознавець;селище Борзна;провулок Митна, буд. 07, Чоп, 31496;014 311 05 66;austenko@example.net
Карась Азар;Юрійович;чоловік;07-06-1988;Фермер;селище Кипуче;шосе Ломоносова, буд. 682 кв. 206, Зимогір'я, 99233;+380 73 814-84-77;pylypenkoalevtyn@example.com
Єременко Ростислав;Васильович;чоловік;29-08-1980;Водій;місто Острог;узвіз Костанді 2-й, буд. 9 кв. 01, Долинська, 30458;+380 (94) 208-89-28;leopold78@example.com
Демʼяненко Алевтин;Сергійович;чоловік;28-06-1966;Кінорежисер;село Канів;вулиця Державіна, буд. 991, Тараща, 80413;005 501 40 98;kyrylo63@example.org
Ільченко Дмитро;Олегович;чоловік;11-02-1975;Біолог;селище Галич;парк Авангардна, буд. 653, Канів, 30041;099 767 70 78;ppelekh@example.org
Чабан Володимир;Олександрович;чоловік;22-12-1980;Будник;місто Полтава;шосе Економічний, буд. 12, Баштанка, 73197;+380 49 087 50 50;veniiamyn06@example.com
Дробʼязко Тереза;Олександрівна;жінка;27-07-1956;Письменник;місто Синельникове;сквер Аеродромний 3-й, буд. 11, Новояворівськ, 81397;+380 64 072-56-50;bandriishyn@example.net
Баран Павло;Миколайович;чоловік;08-01-1941;Пекар;село Очаків;сквер Новгородський, буд. 94, Кальміуське, 54292;+380 60 488-63-87;heorhiidanylchuk@example.net
Тичина Трохим;Григорович;чоловік;15-08-1973;Мірошник;селище Бар;вулиця Чорноморський 8-й, буд. 23, Сокиряни, 63920;023 342-89-26;zynoviishukhevych@example.org
Удовиченко Микита;Анатолійович;чоловік;21-03-1978;Єгер;місто Конотоп;площа Соляний 5-й, буд. 697 кв. 79, Монастирище, 14616;013 48 19;lahodavitalii@example.org
Ємельяненко Борислав;Васильович;чоловік;21-01-1988;Стиліст;селище Ічня;вулиця Строганов міст, буд. 587 кв. 62, Баштанка, 42152;+380 (07) 228-39-35;cshchors@example.net
Палій Тимофій;Тимофійович;чоловік;09-07-1996;Антрополог;село Умань;парк Лідерсівський, буд. 4, Родинське, 82931;+380 35 170 32 67;violetta24@example.net
Абраменко Амалія;Андріївна;жінка;08-02-1975;Кур'єр;хутір Рубіжне;узвіз Політкаторжан, буд. 2 кв. 6, Яготин, 01249;003 362 93 08;hunkokhrystyna@example.org
Носенко Альбіна;Дмитрівна;жінка;04-11-1958;Астрофізик;місто Міусинськ;парк Кільцева, буд. 71, Чорнобиль, 58496;060 748 70 83;okseniia28@example.net
Гаврилишин Святослава;Андріївна;жінка;01-04-1948;Парфюмер;місто Красилів;парк Благовидової, буд. 35, Хорол , 88915;+380 87 593-81-83;korbutiakiv@example.net
Даньків Аніта;Махайлівна;жінка;29-07-2006;Бухгалтер;селище Добропілля;набережна Слов'янська, буд. 606 кв. 35, Дніпрорудне, 13314;001-35-15;alevtyn55@example.com
Засядько Болеслав;Юрійович;чоловік;27-05-1938;Юрист;хутір Ялта;парк Стеценко, буд. 24, Горохів, 47282;+380 (08) 870-43-27;venhrynovychliliia@example.com
